,id,Created at,Screen Name,Tweet Text
99,1321718153966194688,Thu Oct 29 07:38:58 +0000 2020,FoodEthicist,RT @B52Malmet: Jared Kushner deserves more than a public shaming in a Times Square billboard.  https://t.co/GC5oNUwLY2
100,1321718153655758851,Thu Oct 29 07:38:58 +0000 2020,MightyyZeus,"@neiltyson trump said it loud and clear ""we don't have to invade other countries for their energy anymore""
If you s… https://t.co/T87lRh1unV"
101,1321718153425129472,Thu Oct 29 07:38:58 +0000 2020,Mz908,"RT @voxdotcom: ""If there’s any family that should sit out attacking others for alleged corruption, it’s the Trumps,"" writes @atrupar.
https…"
102,1321718153207025665,Thu Oct 29 07:38:58 +0000 2020,DareenXoo,"RT @eilperin: BREAKING: President Trump is exempting Alaska's entire Tongass National Forest from the roadless rule, making more more than…"
103,1321718153093677056,Thu Oct 29 07:38:58 +0000 2020,Rockmedia,"@JoeBiden @ShelbyRatifyERA trump and his base aren’t connected to reality.
@realdonaldtrump keeps hosting murder ra… https://t.co/wRsGY1Sfig"
104,1321718152783400960,Thu Oct 29 07:38:58 +0000 2020,OpenyourE,"RT @dbongino: What a clown.
https://t.co/OWbptkf4Lg"
105,1321718152477233152,Thu Oct 29 07:38:58 +0000 2020,underHiswing914,"RT @duty2warn: Trump, as he leaves Iowa, says that he may never have to come back there again if he doesn't win the state, and then adds fo…"
106,1321718151663521793,Thu Oct 29 07:38:58 +0000 2020,DLA0318,RT @JackPosobiec: Trump North Carolina 2016 and Trump North Carolina 2020 https://t.co/NNLST1VR0K
107,1321718151348916224,Thu Oct 29 07:38:58 +0000 2020,missTfied66,"RT @OlgaNYC1211: Yes! Trump has been dealing with Russian mafia, intelligence, and Kremlin linked oligarchs since the 1980s"
108,1321718151311228928,Thu Oct 29 07:38:58 +0000 2020,rbmumsie,"RT @bryanbehar: The Kushner tapes reveal that Trump’s only goal was saving face, not saving lives."
109,1321718151286034432,Thu Oct 29 07:38:58 +0000 2020,nlstephens55,RT @justinjm1: Conservatives who say racism is largely a spent force refuse to condemn or even acknowledge the monstrous racism coming from…
110,1321718150908596225,Thu Oct 29 07:38:58 +0000 2020,darkan12,Candace Owens ROASTS Cardi B Again Over Trump Rally https://t.co/S9Ujv9gTkH via @YouTube
111,1321718150132506624,Thu Oct 29 07:38:57 +0000 2020,CHawksRun,@candies2639 November 4th till January 20th is going to be long tirades from Trump about how unfair the world is to… https://t.co/czkV76G1LO
112,1321718150023548928,Thu Oct 29 07:38:57 +0000 2020,archewdechew,"RT @thehill: Trump strips protections for the nation’s largest old-growth forest, opening it to logging https://t.co/2Wl8XRhH8m https://t.c…"
113,1321718149864148992,Thu Oct 29 07:38:57 +0000 2020,Slappy_san,"RT @SethAbramson: I was not able to be with my father when he passed away in late April.

And among the many, many, *many* other reasons I…"
114,1321718149096579072,Thu Oct 29 07:38:57 +0000 2020,mike98986,"RT @TheDailyEdge: Maddow on on-time mail percentages in key battlegrounds:

Philadelphia: 43%
Detroit: 53%
Northern Ohio: 56%
South Florida…"
115,1321718147888541696,Thu Oct 29 07:38:57 +0000 2020,ooshdesign,"So they paid trump for justice Barret , Gold which equaled her Weight 👇just like #KavanaughisCompromised https://t.co/XZb0xbxfiO"
116,1321718147741818885,Thu Oct 29 07:38:57 +0000 2020,MckGrainger,RT @leebee999: US left extremism is destroying America - vote Trump FFS!
117,1321718147628453888,Thu Oct 29 07:38:57 +0000 2020,theibewbro,"RT @MeidasTouch: We need 3,000 retweets on this by 11 AM Thursday: we are only 24.8K followers away from hitting HALF A MILLION FOLLOWERS.…"
118,1321718146047365120,Thu Oct 29 07:38:57 +0000 2020,chichignotek,"RT @dbongino: What a clown.
https://t.co/OWbptkf4Lg"
119,1321718145724407812,Thu Oct 29 07:38:56 +0000 2020,sami6548,RT @SenatorDurbin: President Trump wants to turn Voice of America into his own state-run propaganda machine like other autocrats he admires…
120,1321718145468411906,Thu Oct 29 07:38:56 +0000 2020,AnneG143,"RT @briantylercohen: Two weeks ago, Joe Biden spent hours after the cameras were off talking to voters at his town hall. Last night, Trump…"
121,1321718145355116544,Thu Oct 29 07:38:56 +0000 2020,gesten22,RT @MeidasTouch: Just Jared Kushner on Tape confessing that they did a hostile takeover of the GOP and turned it into a Trump cult https://…
122,1321718144713560064,Thu Oct 29 07:38:56 +0000 2020,wishnic4u,"RT @marklevinshow: Shut up, you illiterate nitwit with your lowlife mouth. Trump paid around $24 million in the ATM tax. That’s in the same…"
123,1321718144365334529,Thu Oct 29 07:38:56 +0000 2020,cleanwatr,"RT @MilesTaylorUSA: Reminder to those who haven’t yet voted: Trump wanted us to explore gassing, electrifying, and shooting migrants at the…"
124,1321718144361259009,Thu Oct 29 07:38:56 +0000 2020,erictheacrobat,"@SanjGhee @Minnytrooster @mehdirhasan 1 Sanj, so you’ve established that Trump is populist. You’ve also agreed that… https://t.co/WvVlOg68nY"
125,1321718143740497920,Thu Oct 29 07:38:56 +0000 2020,RickJoh21409181,"Trump deserves 2nd term even though he’s a ‘wretched human being,’ newspaper says

https://t.co/9D29MUCkew"
126,1321718143010615296,Thu Oct 29 07:38:56 +0000 2020,rossyblogg,"Download Fem by @davido instrumental.
free beats
Download here&gt;&gt;&gt; https://t.co/NlSPpHFXPZ
#Beats #Trump #EndSARS #instrumental"
127,1321718142947778561,Thu Oct 29 07:38:56 +0000 2020,jnewman1215,"RT @dbongino: Common sense question for the Biden team: 
If you’re pledging to repeal the Trump tax cuts, and the Trump tax cuts cut middle…"
128,1321718142544982017,Thu Oct 29 07:38:56 +0000 2020,Sue0606,"RT @Salon: What happens when a narcissist loses? Expect ""rage"" and ""terror,"" psychologists warn https://t.co/G7wy6Cudpk"
129,1321718141542637568,Thu Oct 29 07:38:55 +0000 2020,DarthMamaShark,"RT @Robert_E_Kelly: Any post-Trump GOP ‘autopsy’ should look at Fox. 2013’s autopsy focused on outreach, but I’m ever more convinced watchi…"
130,1321718141437669376,Thu Oct 29 07:38:55 +0000 2020,CRYPTSET,"@ABC7NY Max Rose is a graduate of Wesleyan, the London School of Economics and attended Oxford. He went on to becom… https://t.co/ODKRXiNW3O"
131,1321718141274230784,Thu Oct 29 07:38:55 +0000 2020,AlKre89,"RT @PatrickNova6: @realDonaldTrump PROJECTING LIES as being the truth is common method of control and manipulation. 

PATHOLOGICAL LIARS MA…"
